Part,Quantity,price per unit,Price,Source
 drive motor,4,6.22,24.88,Aliexpress
drive ESC,2,8.73,17.46,Aliexpress
f weapon motor,1,9.1,9.1,Aliexpress
f weapon ESC,1,17.87,17.87,Aliexpress
b weapon motor,1,10.22,10.22,Aliexpress
b weapon ESC,1,7.88,7.88,Aliexpress
2pcs battery,1,24.07,24.07,Aliexpress
battery charger,1,4.25,4.25,Aliexpress
transmitter+reciever,1,50.81,50.81,Aliexpress
14 awg wire,1,2.33,2.33,Aliexpress
power switch,1,4.2,4.2,Aliexpress
xt60 connectors,1,3.25,3.25,Aliexpress
heat shrink tube,1,0.88,0.88,Aliexpress
3.17mm shaft adapter,1,3.15,3.15,Aliexpress
saw blade 50mm,1,5.45,5.45,Aliexpress
coupling flange,1,4.71,4.71,Aliexpress
 axle 100mm,1,4.15,4.15,Aliexpress
bearings 2pcs pack,1,3.97,3.97,Aliexpress
36t pulley,1,12.76,12.76,Aliexpress
15t pulley,1,5.47,5.47,Aliexpress
3m timing belt,1,3.1,3.1,Aliexpress 
m4 screws,1,2.54,2.54,Aliexpress
m4 heated inserts,1,2.72,2.72,Aliexpress
M5 screws,1,3.64,3.64,Aliexpress
m5 locknuts,1,0.72,0.72,Aliexpress
m3 screws,1,1.32,1.32,Aliexpress
CNC weapon,1,30.08,30.08,JLCNC
,,,,
shipping and fees,,,51.07,(aliexpress)
,,,11,(JLCNC)

TOTAL USD:,,,323.05,

https://docs.google.com/spreadsheets/d/1sFUCUSCvUxjoT_7rx0nNvCY5FagCCo7miQokyzaxMa4/edit?gid=0#gid=0
